City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Gondanglegi,ID,75.51,overcast clouds,-7.7479,112.0132,Gg. Munasir Homestay
9,Atuona,PF,78.12,clear sky,-9.8,-139.0333,Villa Enata
10,Buritis,BR,82.76,broken clouds,-15.6178,-46.4233,Hotel Rainha do Vale
21,Saint-Philippe,RE,80.6,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
23,East London,ZA,75.87,broken clouds,-33.0153,27.9116,Tu Casa
24,Rikitea,PF,78.73,clear sky,-23.1203,-134.9692,Pension Maro'i
32,Rio Grande,BR,84.2,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
34,Bambous Virieux,MU,79.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
36,Butaritari,KI,79.45,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
44,Hambantota,LK,75.2,clear sky,6.1241,81.1185,Bungalow 63
46,Mar Del Plata,AR,82.4,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
56,Padang,ID,75.2,broken clouds,-0.9492,100.3543,Mercure Padang
60,Vaini,TO,78.8,moderate rain,-21.2,-175.2,Keleti Beach Resort
68,Pisco,PE,80.6,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
69,Pangai,TO,81.81,light rain,-19.8,-174.35,Ha'apai Beach Resort
70,Bengkulu,ID,76.71,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
73,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
75,Lafia,NG,81.63,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
82,Hithadhoo,MV,82.18,overcast clouds,-0.6,73.0833,Scoop Guest House
83,Chuy,UY,79.65,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
85,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
88,Bintulu,MY,77.0,few clouds,3.1667,113.0333,900 Boutique INN
96,San Matias,BO,88.61,light rain,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
101,Isla Mujeres,MX,82.4,scattered clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
103,Dibulla,CO,85.64,broken clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
106,Sao Desiderio,BR,87.49,broken clouds,-12.3633,-44.9733,Meu cantinho
107,Nanakuli,US,78.8,scattered clouds,21.3906,-158.1547,Camp Pālehua
110,Faanui,PF,81.3,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
112,Kisangani,CD,77.23,broken clouds,0.5167,25.2,Grand Ramela Hotel
114,Bucerias,MX,75.2,clear sky,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
115,Grand Gaube,MU,79.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
122,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
126,Poum,NC,79.5,overcast clouds,-20.2333,164.0167,Gîte kajeon
127,Wajir,KE,86.61,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
129,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
136,Auki,SB,76.64,broken clouds,-8.7676,160.7034,Auki Motel
138,Mackay,AU,77.0,scattered clouds,-21.15,149.2,International Lodge Motel
158,Luziania,BR,82.4,light rain,-16.2525,-47.9503,HOTEL SARON
167,Arraial Do Cabo,BR,86.0,clear sky,-22.9661,-42.0278,Pousada Porto Praia
168,Hobyo,SO,76.98,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
171,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
173,Black River,JM,82.99,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
174,Pemangkat,ID,77.05,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
182,Puerto Ayora,EC,84.2,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
187,Cidreira,BR,78.58,clear sky,-30.1811,-50.2056,Hotel Castelo
188,Richards Bay,ZA,80.33,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
191,Conceicao Do Araguaia,BR,84.67,light rain,-8.2578,-49.2647,Tarumã Tropical Hotel
198,Porto Novo,BJ,80.6,haze,6.4965,2.6036,Tour Eiffel Hotel Benin
199,Kupang,ID,80.46,moderate rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
200,Balsas,BR,89.51,few clouds,-7.5325,-46.0356,Novo Hotel
203,Makakilo City,US,78.8,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
210,Manacapuru,BR,87.8,scattered clouds,-3.2997,-60.6206,Novo Hotel
214,Lantana,US,79.0,clear sky,26.5867,-80.05199999999999,Eau Palm Beach Resort & Spa
222,Imbituba,BR,77.0,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
227,Carutapera,BR,82.22,overcast clouds,-1.195,-46.02,Lidera
231,Chirongui,YT,82.4,few clouds,-12.9319,45.1483,La Villa Mahatsara
232,Gamboma,CG,76.01,overcast clouds,-1.8764,15.8644,Residence N'Keni
236,Vao,NC,76.1,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
237,Nicoya,CR,89.6,few clouds,10.1483,-85.45200000000001,Guayacan Real
244,Georgetown,MY,78.01,few clouds,5.4112,100.3354,Cititel Penang
246,Vila Velha,BR,82.4,light rain,-20.3297,-40.2925,Hotel Vitória Palace
250,Karratha,AU,83.35,clear sky,-20.7377,116.8463,ibis Styles Karratha
261,Kulim,MY,78.01,few clouds,5.365,100.5618,Tune Hotel - Kulim
262,Maceio,BR,80.6,light rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
264,Tamiahua,MX,78.57,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
265,Acacias,CO,79.09,overcast clouds,3.987,-73.758,Hotel Iraqúa
267,Mecca,SA,75.78,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
272,Dzilam Gonzalez,MX,87.13,clear sky,21.2833,-88.9333,posadas
275,Uberaba,BR,86.0,broken clouds,-19.7483,-47.9319,Tamareiras Park Hotel
276,Pilar,BR,80.6,light rain,-9.5972,-35.9567,Pousada e churrascaria Manguaba
