City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,-17.86,90,92,5.12,overcast clouds
1,Sitka,US,57.0531,-135.33,37.4,93,90,7.52,light rain
2,Albany,US,42.6001,-73.9662,23.0,43,0,10.0,clear sky
3,Barrow,US,71.2906,-156.7887,6.8,78,90,23.02,snow
4,Batagay-Alyta,RU,67.8006,130.4114,-39.06,75,91,0.89,overcast clouds
5,Anshun,CN,26.25,105.9333,49.66,94,96,14.38,overcast clouds
6,Talnakh,RU,69.4865,88.3972,-35.59,65,57,0.47,broken clouds
7,Gondanglegi,ID,-7.7479,112.0132,75.51,84,100,0.98,overcast clouds
8,Te Kauwhata,NZ,-37.4,175.15,66.0,91,100,11.01,overcast clouds
9,Atuona,PF,-9.8,-139.0333,78.12,79,2,18.39,clear sky
10,Buritis,BR,-15.6178,-46.4233,82.76,57,74,5.57,broken clouds
11,Hermanus,ZA,-34.4187,19.2345,62.01,95,100,3.0,overcast clouds
12,North Bend,US,43.4065,-124.2243,46.4,71,1,3.44,clear sky
13,Ushuaia,AR,-54.8,-68.3,60.8,41,75,10.58,light rain
14,Lashma,RU,54.9321,41.1438,33.84,97,100,7.0,overcast clouds
15,Filingue,NE,14.3521,3.3168,74.68,17,0,8.93,clear sky
16,Homer,US,59.6425,-151.5483,37.4,93,90,4.61,moderate rain
17,Bredasdorp,ZA,-34.5322,20.0403,64.4,88,100,17.27,overcast clouds
18,Asfi,MA,32.2994,-9.2372,58.12,77,24,12.59,few clouds
19,Pevek,RU,69.7008,170.3133,-11.27,90,100,9.1,overcast clouds
20,Hobart,AU,-42.8794,147.3294,57.0,94,40,4.61,scattered clouds
21,Saint-Philippe,RE,-21.3585,55.7679,80.6,74,0,5.75,clear sky
22,Saskylakh,RU,71.9167,114.0833,-33.63,81,66,5.57,broken clouds
23,East London,ZA,-33.0153,27.9116,75.87,77,63,23.4,broken clouds
24,Rikitea,PF,-23.1203,-134.9692,78.73,67,0,10.45,clear sky
25,Mataura,NZ,-46.1927,168.8643,54.0,86,100,7.0,overcast clouds
26,Goderich,CA,43.7501,-81.7165,21.2,93,100,11.5,snow
27,Ekhabi,RU,53.5102,142.9671,-11.15,85,100,3.42,overcast clouds
28,Tulsipur,NP,28.131,82.2973,52.0,70,0,4.76,clear sky
29,Qaanaaq,GL,77.484,-69.3632,17.85,79,100,3.67,overcast clouds
