City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kavaratti,IN,2021-01-19 16:59:37,10.5669,72.642,82.27,66,2,1.52
1,Champerico,GT,2021-01-19 16:59:37,14.3,-91.9167,86.0,58,0,5.97
2,Camacha,PT,2021-01-19 16:59:37,33.0833,-16.3333,64.4,63,20,5.75
3,Sorland,NO,2021-01-19 16:59:38,67.667,12.6934,35.6,64,0,16.11
4,Carnarvon,AU,2021-01-19 16:59:38,-24.8667,113.6333,78.8,89,0,16.11
5,Cherskiy,RU,2021-01-19 16:59:38,68.75,161.3,-39.68,81,100,6.64
6,Bluff,NZ,2021-01-19 16:59:38,-46.6,168.3333,46.0,86,100,8.99
7,Barrow,US,2021-01-19 16:59:38,71.2906,-156.7887,1.4,71,90,23.02
8,Busselton,AU,2021-01-19 16:59:39,-33.65,115.3333,66.63,81,7,5.26
9,Hermanus,ZA,2021-01-19 16:59:39,-34.4187,19.2345,72.0,67,12,5.01
10,Albany,US,2021-01-19 16:57:47,42.6001,-73.9662,35.01,70,89,6.87
11,Mar Del Plata,AR,2021-01-19 16:59:39,-38.0023,-57.5575,75.2,60,0,14.97
12,Hambantota,LK,2021-01-19 16:59:39,6.1241,81.1185,78.84,83,37,1.19
13,Jamestown,US,2021-01-19 16:59:01,42.097,-79.2353,28.99,86,90,17.27
14,Tezu,IN,2021-01-19 16:59:39,27.9167,96.1667,58.15,73,97,3.47
15,Payo,ID,2021-01-19 16:59:40,-3.7508,103.6372,72.91,90,63,1.14
16,Punta Arenas,CL,2021-01-19 16:59:40,-53.15,-70.9167,60.8,44,40,17.27
17,Badiraguato,MX,2021-01-19 16:59:40,25.3667,-107.5167,64.4,63,90,2.91
18,Mount Isa,AU,2021-01-19 16:59:40,-20.7333,139.5,84.2,58,46,8.05
19,Mataura,NZ,2021-01-19 16:59:40,-46.1927,168.8643,46.0,86,76,8.99
20,Saint George,US,2021-01-19 16:55:04,37.1041,-113.5841,41.0,45,1,3.44
21,Hobart,AU,2021-01-19 16:59:40,-42.8794,147.3294,46.4,66,29,6.91
22,Caravelas,BR,2021-01-19 16:59:41,-17.7125,-39.2481,84.52,52,11,10.0
23,Dikson,RU,2021-01-19 16:59:41,73.5069,80.5464,-21.96,88,85,10.56
24,Divnoye,RU,2021-01-19 16:59:41,45.9089,43.3547,20.71,96,80,8.48
25,Provideniya,RU,2021-01-19 16:59:41,64.3833,-173.3,-10.34,86,91,6.71
26,Castro,BR,2021-01-19 16:56:54,-24.7911,-50.0119,68.0,92,100,9.01
27,Erzin,TR,2021-01-19 16:59:41,36.9559,36.2,46.99,52,87,8.01
28,Avarua,CK,2021-01-19 16:59:41,-21.2078,-159.775,82.4,78,20,5.75
29,Port Alfred,ZA,2021-01-19 16:59:41,-33.5906,26.891,70.0,92,50,8.01
30,Kapaa,US,2021-01-19 16:54:49,22.0752,-159.319,69.8,88,75,25.32
31,Rikitea,PF,2021-01-19 16:59:42,-23.1203,-134.9692,77.95,77,50,15.75
32,Sala Consilina,IT,2021-01-19 16:59:42,40.3912,15.5989,51.8,62,0,2.3
33,Thompson,CA,2021-01-19 16:59:42,55.7435,-97.8558,-18.4,83,75,8.05
